code,name,batch,stock,deal,free,mrp,rate,exp,company,supplier
KNBF4,BRUFEN 400MG TAB,HBKB9188,68,0,0,11.39,8.14,01/08/2022,ABBOTT-1,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
KNDMT,DIGENE MINT TAB,090020D7,180,9,1,18.15,12.96,01/08/2022,ABBOTT (CONSUMER CARE),LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
NCHMS,HAEMACCEL I.V ***,HMA9104,2,0,0,421.3,300.93,01/08/2022,NICHOLAS PIRAMAL INDIA LTD,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
SAKC4,KENACORT-40MG VIAL**,NPE0529,-2,14,1,136.4,97.43,01/08/2022,SARABHAI CHEMICALS,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
ZINCN,ZINCOVIT TABS**,ZVT20020,-3,0,0,90,61.05,01/08/2022,APEX,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
MASX5,SERAX 5MG TAB,KK19002,15,10,1,52,37.14,01/08/2022,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
NOVG5,GALVUS 50MG TABS 15`S,KG0808,10,0,0,299,213.57,01/08/2022,NOVARTIS INDIA LTD.,NOVARTIS INDIA LIMITED        HYDERABAD
PZDX2,DOLONEX AMP,92004131S,21,0,0,241.5,172.45,01/08/2022,PFIZER (PAIN),PFIZER LIMITED HYDERABAD
WIBDP,BETADINE PWD **,GK0049,4,0,0,109.5,78.21,01/08/2022,WIN MEDICARE,PRADEEP MEDICAL AGENCIES      HANAMKONDA
LUSBR,SALBAIR ROTACAPS**,U902022,7,0,0,38.6,27.57,01/08/2022,LUPIN,PRUDHVI AGENCIES VIJAYAWADA
SGCA1,CONTRAMAL 100MG AMP**,UBLE9014,250,19,1,22.94,16.39,01/08/2022,S.G PHARMA,RAVINDRA PHARMACEUTICALS VIJAYAWADA
GWAXL,ALEX COUGH LOZENGES,73190066,20,9,1,93,66.43,01/08/2022,GLENMARK (RESPICARE),SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
GRCDL,CANDID LOTION,11191855,14,0,0,117.6,84,01/08/2022,GLENMARK PHARMA,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
GRDZR,DIZIRON TABS,18191085,35,0,0,128,91.43,01/08/2022,GLNMARK(MAJESTA),SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
HOLAN,LANTUS U100 SOLOSTAR,9F6676A,2,0,0,1099.11,879.29,01/08/2022,AVENTIS PHARMA,SANOFI INDIA LIMITED          HYDERABAD
CIAEO,ACIVIR EYE ONT,G9027,1,0,0,57.04,40.74,01/08/2022,CIPLA,SARADA PHARMACY      MADHIRA
UQBNC,BETA-NICARDIA CAP,ABJ9006,17,0,0,105.55,75.4,01/08/2022,J.B. CHE&PHARMA LIMITED  (VIVA),SARADA PHARMACY      MADHIRA
GECP6,CALPOL 650MG TABS,EB137,3,7,1,30.24,21.6,01/08/2022,GLAXOSMITHKLINE(FORTIOR),SARADA PHARMACY      MADHIRA
MEDCP,CARIPAP TAB,CRP19001,1,5,1,360,257.14,01/08/2022,MED MANOR ORGANICS  (PD),SARADA PHARMACY      MADHIRA
SIMOM,M.O.M. SYR 100ML,4919001,2,7,1,20.5,14.64,01/08/2022,SIRIS,SRI RAMAKRISHNA MEDICAL TRADER VIJAYAWADA
RAROF,ROSUVAS F 10MG TABS,EMX0724,10,0,0,312,222.86,01/08/2022,RANBAXY (CORONUS),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
CLZC2,ZANOCIN 200MG TABS,AA82169,35,10,1,74.5,53.21,01/08/2022,SUN PHARMA (CLASSIC),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
TORRD,DOMSTAL 10MG TAB,2235F005,60,0,0,26.35,18.82,01/08/2022,TORRENT (PRIMA),TORRENT PHARMACEUTICALS LTD   HYDERABAD
URLSH,LOSAR-H TAB,9FZ9F053,215,0,0,174.22,124.44,01/08/2022,TORRENT (CV LIFE),TORRENT PHARMACEUTICALS LTD   HYDERABAD
CDAAT,ANDIAL TAB,SVADL1934,25,9,1,21.6,16.2,01/08/2022,VERITAZ HEALTHCARE LIMITED,VERITAZ HEALTHCARE LIMITED    HYDERABAD
GERBA,GERBISA  5MG SUP(C),T901490,23,0,0,46.18,32.99,01/08/2022,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
NVCBL,CALBOROL IV,CLI18178DC,14,0,0,159,99.77,01/08/2022,NOVARTIS (VET) INDIA LIMITED,
NVCBL,CALBOROL IV,CLI18180DC,134,0,0,159,99.77,01/08/2022,NOVARTIS (VET) INDIA LIMITED,
MEDCP,CARIPAP TAB,CRP19001,2,5,1,360,257.14,01/08/2022,MED MANOR ORGANICS  (PD),
MEDCP,CARIPAP TAB,ORP19001,11,5,1,360,257.14,01/08/2022,MED MANOR ORGANICS  (PD),
CADID,DERIPHYLIN SYR,BJV1087,11,0,0,49.4,35.29,01/08/2022,GERMAN REMADIES LTD,
CIDT2,DYTOR 20MG TABS,BA92728,49,0,0,138.54,98.96,01/08/2022,CIPLA(VITALIS 3),
ALKSUM,SUMO-L650 TABS,19442247,20,9,1,30.22,21.59,01/08/2022,ALKEM (PHARMA),
INTZ6,TRIZ SYRUP,TAX1I9A1,1,9,1,38.98,27.84,01/08/2022,INDOCO,
CIAL2,ATORLIP-20,SN91831,10,0,0,218.4,156,31/07/2022,CIPLA(VITALIS 1),CIPLA LIMITED  HYDERABAD
CSBCI,BUDECORT-200MG INHA,SN91644,10,0,0,344.96,246.4,31/07/2022,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD
CICFE,CROMAL-FORTE EYE DRP,N90025,7,0,0,83.6,59.71,31/07/2022,CIPLA,CIPLA LIMITED  HYDERABAD
DUDDA,DUVADILAN AMP,PCE0475,4,0,0,135,96.43,01/07/2022,ABBOTT-1,ABBOTT INDIA LIMITED HYDERABAD
ICID4,INDERAL 40MG TAB,INB9013A,32,0,0,45.28,32.34,01/07/2022,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
ACAC5,ATECARD 50MG TAB,1908000866,4,0,0,27.39,19.57,01/07/2022,ALEMBIC  (DABUR) INDIA LIMITED,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ASASS,AMBRODIL S SYR,DPB200315,273,0,0,25.25,18.03,01/07/2022,ARISTO (MAIN FORCE 3),ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
BIOB0,BASALOG 100 UNITS,FH30005,8,0,0,564.5,451.64,01/07/2022,BIOCON (CITIUS),BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
CIAD8,ACIVIR-DT 800MG TAB,SN91228,12,0,0,185,132.14,01/07/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIAD8,ACIVIR-DT 800MG TAB,SN91324,10,0,0,185,132.14,01/07/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIAL1,ATORLIP-10,SN91829,6,0,0,90.17,64.41,01/07/2022,CIPLA(VITALIS 1),CIPLA LIMITED  HYDERABAD
CIPCH,CHYMOCIP TAB,G19CHP008,12,9,1,301.4,215.29,01/07/2022,CIPLA (SPEETRACARE-2),CIPLA LIMITED  HYDERABAD
PTLFI,LEVOFLOX IV,A490584,21,3,3,171.6,122.57,01/07/2022,CIPLA (INSPIRA),CIPLA LIMITED  HYDERABAD
CSS5I,SEROFLO 50MG INH,SA93617,7,0,0,378.26,270.19,01/07/2022,CIPLA(RESP 1),CIPLA LIMITED  HYDERABAD
ERECH,ERITEL CH 40MG TAB,GECH20001,25,0,0,175.69,125.49,01/07/2022,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERITA,TAYO TABS,GTAY20003,20,0,0,101.45,72.46,01/07/2022,ERIS  (ADURA),ERIS LIFE SCIENCES LTD     HYDERABAD
FIGBC,GRILINCTUS-BM TAB,19011,5,0,0,15,10.71,01/07/2022,FRANCO INDIAN,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
BABT2,BAYERS TONIC,MH0736,6,10,1,141,100.71,01/07/2022,BAYER,HARI MARUTI AGENCIES  VIJAYAWADA
INCPS,CYCLOPAM SYR,CEA1BBC2,102,9,1,50.6,36.14,01/07/2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
INCPS,CYCLOPAM SYR,CEA2BBA1,-2,9,1,50.6,36.14,01/07/2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
UQMGS,METROGYL SYR,PSM9041,69,0,0,19.49,15,01/07/2022,J.B. CHE&PHARMA LIMITED  (DIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
UQNOR,NOR-METROGYL PLUS TAB,AN99018,92,0,0,80,57.15,01/07/2022,J.B. CHE&PHARMA LIMITED  (DIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
BUSGA,BUSCOGAST AMP,319049,10,0,0,11.43,8.58,01/07/2022,AVENTIES(BASE),LAKSHMI BALAJI AGENCIES       HYDERABAD
SAKC4,KENACORT-40MG VIAL**,NPE0478,-1,14,1,136.4,97.43,01/07/2022,SARABHAI CHEMICALS,LAKSHMI BALAJI AGENCIES       HYDERABAD
GENARK75,ARK 75 MG TABS**,AST19005,50,0,0,37.35,26.68,01/07/2022,GENARAL COMPANY,LAKSHMI BALAJI CORPORATION VIJAYAWADA
BABT2,BAYERS TONIC,MH0729,11,10,1,141,100.71,01/07/2022,BAYER,LAKSHMI BALAJI CORPORATION VIJAYAWADA
GERAR,RA THERMOSEAL ***,O90431,54,0,0,54.4,38.86,01/07/2022,IPCA,LAKSHMI BALAJI CORPORATION VIJAYAWADA
RPAMT,AVOMINE TAB**,SSE0100,102,0,0,42.07,30.05,01/07/2022,GENARAL COMPANY,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR
TTESA,EPIDOSIN AMP ***,GAM52,2,0,0,216,154.3,01/07/2022,T.T.K PHARMA,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR
SAKC4,KENACORT-40MG VIAL**,NPE0480,6,14,1,136.4,97.43,01/07/2022,SARABHAI CHEMICALS,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
MR1KS,K-STAT-500MG TABS,19102312,7,0,0,245,175,01/07/2022,MERCURY LABORATORIES LTD,MERCURY LABORATORIES          SECUNDRABAD
CBVF5,VOLTAFLAM 50MG TABS,198006CP,70,0,0,20.85,16.05,01/07/2022,NOVARTIS INDIA LTD.(MPBU),NOVARTIS INDIA LIMITED        HYDERABAD
NOVAVE,VOVERAN EMULGEL,198060EE,1,9,1,89.9,64.21,01/07/2022,NOVARTIS INDIA LTD.(MPBU),NOVARTIS INDIA LIMITED        HYDERABAD
NOVAVE,VOVERAN EMULGEL,198062EE,50,9,1,89.9,64.21,01/07/2022,NOVARTIS INDIA LTD.(MPBU),NOVARTIS INDIA LIMITED        HYDERABAD
SUGT3,GABANTIN 300MG TABS **,EMU2105,4,0,0,175,125,01/07/2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA
GWFHO,FLUCORT-H SKIN CREAM,11191674,4,0,0,176.5,126.07,01/07/2022,GRACEWELL DIVISION,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
AVELA,LANTUS CARTRIDGE,9F480A,4,0,0,3612.7,2890.16,01/07/2022,AVENTIS PHARMA,SANOFI INDIA LIMITED          HYDERABAD
HOSMC,SOFRAMYCIN CREAM,38,45,0,0,45.76,32.69,01/07/2022,AVENTIES(BASE),SANOFI INDIA LIMITED          HYDERABAD
WOPCT,PRACTIN TABS,JU10549,50,19,1,30.7,21.93,01/07/2022,DR.REDDY`S LAB (WOCKHARDT),SARADA PHARMACY      MADHIRA
WOPCT,PRACTIN TABS,JU10549,65,19,1,30.7,21.93,01/07/2022,DR.REDDY`S LAB (WOCKHARDT),SARADA PHARMACY      MADHIRA
NOVAVE,VOVERAN EMULGEL,198060EE,10,9,1,89.9,64.21,01/07/2022,NOVARTIS INDIA LTD.(MPBU),SARADA PHARMACY      MADHIRA
EDCST,CARNISURE-500MG TABS,WBA59032,18,0,0,277.65,198.32,01/07/2022,TORRENT (B- WELL),TORRENT PHARMACEUTICALS LTD   HYDERABAD
TORRD,DOMSTAL 10MG TAB,2235F003,2,0,0,26.35,18.82,01/07/2022,TORRENT (PRIMA),TORRENT PHARMACEUTICALS LTD   HYDERABAD
URTK2,TRIKA-0.25MG TAB,2FZ6F019,26,0,0,21.98,15.71,01/07/2022,TORRENT (CV LIFE),TORRENT PHARMACEUTICALS LTD   HYDERABAD
ULUPT,U-PROSTONE TABS,UP193,81,10,1,92.4,70,01/07/2022,UNI-LABS (INDIA) PVT LTD.,VASU PHARMA DISTRIBUTORS      HYDERABAD
VIDLT,DIROLIN-L BOLUS TAB,DL2001,295,0,0,39.6,24.19,01/07/2022,VETINDIA,VET INDIA PHARMACEUTICALS     HYDERABAD
FDCFL,FLUNARIN 10MG**,079H001,17,0,0,47.85,34.18,01/07/2022,F.D.C. INDIA LIMITED,VIJAYA DURGA AGENCIES   VIJAYAWADA
WLLX1,LYNX AMP,SLD2002,10,0,0,10.8,7.71,01/07/2022,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
CIA51,AMLOPRES 5MG TAB,SN91399,41,0,0,85.68,61.2,01/07/2022,CIPLA(VITALIS 2),
ACAC2,ATECARD 25MG TAB,1908000952,1,0,0,36.5,26.07,01/07/2022,ALEMBIC  (DABUR) INDIA LIMITED,
H&HDBC,DERMADEW BACT SOAP,B039,6,0,0,175,118.64,01/07/2022,H&H PHARMA (HEALTHCARE),
HMGX1,GASEX TAB,19900762,71,0,0,110,75.62,01/07/2022,THE HIMALAYA DRUG CO ( ZEAL),
ERGSMF,GLIMISAVE M1 FORTE TAB,GGLA19015,4,0,0,114.44,81.74,01/07/2022,ERIS LIFESCIENCES PVT LTD,
LYKLE,LEVOCET TABS**,GT19679B,15,0,0,43,30.71,01/07/2022,GENARAL COMPANY,
MDOOZ,OFLOMAC OZ TABS,KOE908A,20,9,1,135,96.43,01/07/2022,MACLEODS (PHARMA) DIVISION,
WARLE,RENOLEN EYE DROPS,RAN1H9A3,20,0,0,59.4,42.43,01/07/2022,WARREN(OPTHAL),
MR1TS,T-STAT AMP,19302004,25,9,1,76.74,58.47,01/07/2022,MERCURY LABORATORIES LTD,
MDTNM,TRENAXA-MF,KTB907A,3,0,0,218.9,156.36,01/07/2022,MACLEODS (PHARMA) DIVISION,
WALOR,WALYTE POWDER,WOL9445,10,9,1,19.99,15.23,01/07/2022,WALLACE PHARMA,
MEDZT,ZINCOLD TAB,HZC180,4,5,1,72,51.43,01/07/2022,MED MANOR ORGANICS  (PD),
CIAC5,ACIVIR CREAM,D9153,24,0,0,110,78.57,30/06/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIAD2,ACIVIR-DT 200MG TAB,SA94483,7,0,0,74.25,53.04,30/06/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIAD4,ACIVIR-DT 400MG TAB,SN91518,45,0,0,67.42,48.16,30/06/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
PTMR5,MIGARID-5 TAB,EC90645,37,0,0,18.6,13.29,30/06/2022,CIPLA(IMPULSE),CIPLA LIMITED  HYDERABAD
GMJNC,JONAC 50MG TAB,S901726,60,5,1,14.84,10.6,30/06/2022,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
ABBUD,UDILIV TAB 150MG,130942D7,40,0,0,307.5,234.29,01/06/2022,ABBOTT (WH&GI),ABBOTT INDIA LIMITED HYDERABAD
ALPN4,PAN 40MG TAB,20440068,6,0,0,138,98.58,01/06/2022,ALKEM LAB ACE AURA,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
BECPP,COSCOPIN-PD SYR,D2100620,120,10,1,57.9,41.36,01/06/2022,BIOLOGICAL E.LIMITED,"BIOLOGICAL E, LIMITED         HYDERABAD"
CIAD2,ACIVIR-DT 200MG TAB,SA94484,20,0,0,74.25,53.04,01/06/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIMTL,METOLAR-50MG TAB,KG90285,1,0,0,58.25,41.6,01/06/2022,CIPLA,CIPLA LIMITED  HYDERABAD
CIPLAOXYS,OXYSPAS 2.5 TABS,GG90732,10,0,0,88.93,63.52,01/06/2022,CIPLA(UROLOGY),CIPLA LIMITED  HYDERABAD
DROM2,OMEZ-20MG CAP,E901518,15,0,0,54.21,38.72,01/06/2022,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD
DRO4V,OMEZ-40MG VIAL,DJ0002,120,0,0,43.45,31.03,01/06/2022,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD
ERITA,TAYO TABS,GTAY20001,21,0,0,101.45,72.46,01/06/2022,ERIS  (ADURA),ERIS LIFE SCIENCES LTD     HYDERABAD
HMGX1,GASEX TAB,93900590,30,0,0,110,75.62,01/06/2022,THE HIMALAYA DRUG CO ( ZEAL),HARI MARUTI AGENCIES  VIJAYAWADA
MIALT,AMLONG TAB***,AMBS0432,17,0,0,42.84,30.6,01/06/2022,MICRO LABS,LAKSHMI BALAJI CORPORATION VIJAYAWADA
BAICL,INCID-L TAB,PB19320,30,0,0,18,12.9,01/06/2022,BAYER,LAKSHMI BALAJI CORPORATION VIJAYAWADA
BIINS,INSUGEN-30/70  100 UNITS,BF19003332,20,0,0,429.37,343.5,01/06/2022,BIOCON,LAKSHMI BALAJI CORPORATION VIJAYAWADA
BTISG,INSUGEN-30/70 INJ,BF19002691,27,0,0,154,123.2,01/06/2022,BIOCON,LAKSHMI BALAJI CORPORATION VIJAYAWADA
KLEC2,EPILEX CHRONO 200MG ***,PCE0455,30,0,0,116.85,83.46,01/06/2022,KNOLL LENBROOK PHARMA LTD,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR
APLP6,P-650 MG TAB**,TSS19054,21,10,1,20.16,14.4,01/06/2022,APEX,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
MKMOZ,MAHACEF-OZ TAB,G2IAS006,19,9,1,89,63.57,01/06/2022,MANKIND(DISCOVERY),MANKIND PHARMA (DISCOVERY)HYDERABAD
MKZ1D,ZENFLOX-100 DT TABS,D9AHS003,10,10,1,29.19,20.85,01/06/2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD
PBGZ4,GLIZID 40MG TAB,35019001,6,0,0,37.5,26.79,01/06/2022,PANACEA-BIOTEC LTD,RAVINDRA PHARMACEUTICALS VIJAYAWADA
SUN KETN,KETANOV DT 10MG TABS,BFW0104,40,0,0,69,49.29,01/06/2022,RANBAXY(MAXXIM),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
RAKVT,KETANOV TABS,AA66119,26,0,0,65,46.43,01/06/2022,RANBAXY(MAXXIM),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
RAST4,STORVAS 40MG TABS,EMX0042,24,0,0,211.46,151.04,01/06/2022,RANBAXY-2,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
SUNSTORV,STORVAS 80MG TABS,EMX0394,2,0,0,387.5,276.79,01/06/2022,RANBAXY (CROSLANDS),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
TORR0,ALPROX 0.5MG TABS,2E10F018,46,0,0,50.6,36.14,01/06/2022,TORRENT (VISTA),TORRENT PHARMACEUTICALS LTD   HYDERABAD
ULPLO,PILANTS OINT,01P96,31,0,0,105.6,80,01/06/2022,UNI-LABS (INDIA) PVT LTD.,VASU PHARMA DISTRIBUTORS      HYDERABAD
LUCZ3,CZ-3 TAB**,J901157,40,0,0,17.98,12.85,01/06/2022,LUPIN,VIJAYA DURGA AGENCIES   VIJAYAWADA
ULRFO,RUMEX FORTE OIL,01RM498,37,10,1,112.2,85,01/06/2022,UNI-LABS (INDIA) PVT LTD.,
UNIXT,XT PARA TABS,EF9010,2,0,0,62.42,44.59,01/06/2022,TORRENT (UVA),
PTOLE,OFLOX EYE DROPS,A090526,55,0,0,33.55,23.96,31/05/2022,CIPLA (CRESTA),CIPLA LIMITED  HYDERABAD
CIUMF,URIMAX-F CAPS,SA94946,25,0,0,407.16,290.83,31/05/2022,CIPLA(UROLOGY),CIPLA LIMITED  HYDERABAD
UMPRE,NOOTROPIL 1200MG TAB,EMV1901500,10,0,0,253,180.71,31/05/2022,DR REDDYYS (GRANDERA),DR REDDY`S LABORATORIES LTD   HYDERABAD
MACA2,ATORMAC 20,KAK903B,7,0,0,145.6,104,31/05/2022,MACLEODS (PROCARE) CV,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
ACRX1,ROXID 150MG TAB,1908001657,40,0,0,147,105,01/05/2022,ALEMBIC LTD(PHARMA),ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALA2,ALEVO 250MG TABS,19441396,20,0,0,48.3,34.5,01/05/2022,ALKEM (ARISE),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALPN4,PAN 40MG TAB,19443328,84,0,0,138,98.58,01/05/2022,ALKEM LAB ACE AURA,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALTXP,TAXIM 125MG VIAL,19461050,152,10,1,18,13.5,01/05/2022,ALKEM(ALPHA MAX),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALTX1,TAXIM 1GM VIAL,19461040,79,10,1,37.59,26.85,01/05/2022,ALKEM(ALPHA MAX),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALTX1,TAXIM 1GM VIAL,19461111,1,10,1,37.59,26.85,01/05/2022,ALKEM(ALPHA MAX),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ASM1V,MONOCEF 1GM VIAL,AB16M059,1200,10,6,59.09,42.21,01/05/2022,ARISTO PHARMA,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ASPT4,PANTOP 40 TAB,S171M059,100,0,0,125,89.29,01/05/2022,ARISTO PHARMA,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
BIISG,INSUGEN-50/50  100 UNITS,F19003160,6,0,0,429.37,343.49,01/05/2022,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
CIES4,EMESET 4 TAB,SN91032,50,0,0,51.38,36.7,01/05/2022,CIPLA (SPEETRACARE-2),CIPLA LIMITED  HYDERABAD
CCNR4,NORFLOX 400MG TAB,RC0083,-1,5,1,64.52,46.09,01/05/2022,CIPLA (SPEETRACARE+1),CIPLA LIMITED  HYDERABAD
UMPRE,NOOTROPIL 1200MG TAB,EMV1901501,20,0,0,253,180.71,01/05/2022,DR REDDYYS (GRANDERA),DR REDDY`S LABORATORIES LTD   HYDERABAD
EROL4,OLMIN 40 LN TABS,GOTL19005,4,0,0,173.15,123.68,01/05/2022,ERIS  (ADURA),ERIS LIFE SCIENCES LTD     HYDERABAD
FBGMT,GLIMET TAB,M19002,96,0,0,5.14,3.67,01/05/2022,FRANCO-INDIAN (DIABETIX),FRANCO-INDIAN PHARMACEUTICALS HYDERABAD
HOSMC,SOFRAMYCIN CREAM,59294,12,0,0,45.76,32.69,01/05/2022,AVENTIES(BASE),HARI MARUTI AGENCIES  VIJAYAWADA
INCPS,CYCLOPAM SYR,CEA1L9A1,38,9,1,50.6,36.14,01/05/2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
INSB5,SCABEX LOTION,SAA1FB21,-99,9,1,55,39.29,01/05/2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
INSB5,SCABEX LOTION,SAA1FB2L,99,9,1,55,39.29,01/05/2022,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
ABBBEN,BENADON TABS**,MH3023,22,0,0,19.12,13.66,01/05/2022,ABBOT,LAKSHMI BALAJI CORPORATION VIJAYAWADA
SAKC4,KENACORT-40MG VIAL**,NPE0363,110,14,1,136.4,97.43,01/05/2022,SARABHAI CHEMICALS,LAKSHMI VENKATESWARA PHARMA   HYDERABAD
KRRND,ROBINAXOL-D TAB ***,UTGRDA907,10,10,2,122.13,87.24,01/05/2022,GENARAL COMPANY,LAKSHMI VENKATESWARA PHARMA   HYDERABAD
IPPEN,PERINORM TABS **,GD129009AS,100,0,0,12.77,9.13,01/05/2022,IPCA,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
MTFCT,FORECOX TAB,HRJ20001A,20,0,0,68.3,48.78,01/05/2022,MACLEODS(TB CARE),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MTFCT,FORECOX TAB,HRJ20006A,-20,0,0,68.3,48.78,01/05/2022,MACLEODS(TB CARE),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MKATT,ASTHAKIND TABS,A1ALS011,60,0,0,28.97,20.69,01/05/2022,MANKIND(LIFESTAR),MANKIND PHARMA (LIFESTAR)HYDERABAD
122263R,BANDY PLUS TABS,A8AGS053,30,9,1,23.99,17.14,01/05/2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD
MKBNT,BANDY TABS,A6AGS049,110,5,1,8.41,6.01,01/05/2022,MANKIND PHARMA LTD.,MANKIND PHARMA LTD HYDERABAD
XXCKS,GIFT ITEM,BLANKET,1,0,0,1,1,01/05/2022,GIFT ARTICALS,MED MANOR ORGANICS PVT LT     HYDERABAD
MELG1,LIVOGEN CAPTAB,0164C8421,-300,0,0,62.92,44.94,01/05/2022,MERCK,MERCK LIMITED                 HYDERABAD
MELG1,LIVOGEN CAPTAB,0164C84211,300,0,0,62.92,44.94,01/05/2022,MERCK,MERCK LIMITED                 HYDERABAD
MR1MF,T-STAT MF TABS,19103104,67,9,1,270,192.86,01/05/2022,MERCURY LABORATORIES LTD,MERCURY LABORATORIES          SECUNDRABAD
NOVATG,TEGRITAL SYRUP,196004KB,11,0,0,21.24,16.35,01/05/2022,NOVARTIS INDIA LTD.(MPBU),NOVARTIS INDIA LIMITED        HYDERABAD
ZUNMAXT,MAXTRA DROPS**,Z06AJ20022,-1,9,1,69,49.29,01/05/2022,GENARAL COMPANY,PRADEEP MEDICAL AGENCIES      HANAMKONDA
SNENC,ENCORATE  CHR 300MG***,ESX1018,58,0,0,70.25,50.18,01/05/2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA
SNENC,ENCORATE  CHR 300MG***,ESX0962,-58,0,0,70.25,50.18,01/05/2022,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA
USGGP,GLYCOMET-GP 1MG **,48013796,40,0,0,96.63,69.02,01/05/2022,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
HOAR1,AMARYL 1MG TAB,9NA0022,20,0,0,117.94,84.24,01/05/2022,AVENTIS PHARMA,SANOFI INDIA LIMITED          HYDERABAD
HOFNT,FESTAL-N TAB,FT331912,12,0,0,112.49,80.35,01/05/2022,AVENTIES(BASE),SANOFI INDIA LIMITED          HYDERABAD
RAKVT,KETANOV TABS,AA54197,10,0,0,65,46.43,01/05/2022,RANBAXY(MAXXIM),SARADA PHARMACY      MADHIRA
KRRND,ROBINAXOL-D TAB ***,UTGRDA907,1,10,2,122.13,87.24,01/05/2022,GENARAL COMPANY,SARADA PHARMACY      MADHIRA
RCDET,DETTOL SKIN CARE 3+1  OFF**,BUJV584,-1,0,0,90,73.92,01/05/2022,RICKET & BENCKISER,SRI SHASTHA ENTERPRISES KHAMMAM
